iter	Passed	Remaining
1371	8442	10018
1372	8444	10007
1373	8447	9997
1374	8450	9987
1375	8453	9976
1376	8455	9965
1377	8457	9954
1378	8459	9943
1379	8461	9933
1380	8465	9924
1381	8467	9913
1382	8469	9902
1383	8472	9892
1384	8474	9881
1385	8476	9870
1386	8478	9859
1387	8480	9848
1388	8481	9837
1389	8483	9826
1390	8485	9815
1391	8488	9806
1392	8493	9797
1393	8495	9787
1394	8500	9780
1395	8503	9770
1396	8506	9761
1397	8510	9752
1398	8514	9743
1399	8517	9734
1400	8519	9723
1401	8521	9713
1402	8525	9704
1403	8527	9693
1404	8529	9683
1405	8533	9674
1406	8535	9664
1407	8539	9655
1408	8543	9646
1409	8548	9639
1410	8551	9630
1411	8555	9621
1412	8559	9613
1413	8563	9605
1414	8567	9596
1415	8570	9587
1416	8573	9578
1417	8577	9569
1418	8580	9559
1419	8582	9549
1420	8584	9538
1421	8586	9528
1422	8589	9519
1423	8592	9509
1424	8594	9498
1425	8596	9488
1426	8597	9477
1427	8599	9466
1428	8601	9456
1429	8603	9446
1430	8605	9435
1431	8607	9424
1432	8610	9415
1433	8613	9406
1434	8616	9397
1435	8618	9386
1436	8620	9376
1437	8622	9366
1438	8624	9355
1439	8626	9345
1440	8628	9335
1441	8631	9326
1442	8635	9317
1443	8638	9308
1444	8641	9299
1445	8645	9291
1446	8649	9282
1447	8651	9272
1448	8655	9264
1449	8657	9254
1450	8659	9244
1451	8662	9234
1452	8664	9225
1453	8668	9216
1454	8671	9208
1455	8674	9198
1456	8678	9190
1457	8681	9181
1458	8683	9171
1459	8685	9161
1460	8688	9152
1461	8690	9142
1462	8692	9132
1463	8694	9121
1464	8699	9114
1465	8702	9105
1466	8705	9097
1467	8709	9089
1468	8712	9080
1469	8716	9072
1470	8719	9062
1471	8723	9055
1472	8727	9047
1473	8730	9038
1474	8732	9028
1475	8734	9019
1476	8737	9009
1477	8742	9002
1478	8745	8994
1479	8748	8984
1480	8751	8975
1481	8755	8968
1482	8759	8960
1483	8762	8951
1484	8765	8942
1485	8768	8934
1486	8772	8926
1487	8776	8918
1488	8780	8910
1489	8783	8901
1490	8789	8895
1491	8792	8886
1492	8796	8878
1493	8799	8869
1494	8802	8861
1495	8805	8852
1496	8807	8843
1497	8809	8833
1498	8812	8824
1499	8815	8815
1500	8818	8806
1501	8820	8796
1502	8822	8787
1503	8825	8778
1504	8827	8768
1505	8829	8758
1506	8832	8750
1507	8836	8742
1508	8838	8733
1509	8843	8726
1510	8847	8718
1511	8853	8712
1512	8858	8706
1513	8860	8696
1514	8861	8686
1515	8865	8678
1516	8867	8668
1517	8871	8661
1518	8873	8651
1519	8876	8643
1520	8880	8634
1521	8885	8628
1522	8887	8619
1523	8890	8610
1524	8892	8600
1525	8894	8591
1526	8896	8581
1527	8899	8573
1528	8903	8565
1529	8906	8557
1530	8909	8548
1531	8912	8540
1532	8916	8532
1533	8919	8523
1534	8922	8515
1535	8925	8507
1536	8927	8497
1537	8931	8490
1538	8933	8481
1539	8936	8471
1540	8940	8464
1541	8943	8456
1542	8946	8447
1543	8950	8440
1544	8953	8432
1545	8955	8422
1546	8957	8413
1547	8960	8404
1548	8962	8395
1549	8964	8386
1550	8966	8377
1551	8970	8369
1552	8972	8360
1553	8976	8352
1554	8978	8343
1555	8981	8334
1556	8985	8327
1557	8988	8318
1558	8990	8310
1559	8994	8302
1560	8996	8293
1561	8997	8283
1562	8999	8273
1563	9000	8264
1564	9002	8254
1565	9006	8247
1566	9009	8239
1567	9012	8230
1568	9016	8223
1569	9020	8215
1570	9025	8209
1571	9027	8200
1572	9031	8193
1573	9035	8185
1574	9037	8177
1575	9040	8168
1576	9043	8160
1577	9045	8151
1578	9048	8142
1579	9050	8133
1580	9053	8125
1581	9056	8117
1582	9058	8108
1583	9060	8099
1584	9062	8090
1585	9065	8082
1586	9069	8074
1587	9071	8065
1588	9073	8057
1589	9077	8049
1590	9080	8041
1591	9083	8033
1592	9087	8026
1593	9090	8018
1594	9092	8009
1595	9094	8000
1596	9097	7991
1597	9099	7983
1598	9101	7974
1599	9103	7965
1600	9108	7959
1601	9114	7953
1602	9116	7944
1603	9118	7935
1604	9121	7927
1605	9123	7919
1606	9125	7910
1607	9127	7901
1608	9129	7892
1609	9131	7883
1610	9134	7875
1611	9137	7868
1612	9141	7860
1613	9144	7852
1614	9147	7844
1615	9150	7836
1616	9153	7828
1617	9156	7820
1618	9159	7813
1619	9161	7804
1620	9163	7795
1621	9166	7787
1622	9169	7779
1623	9172	7771
1624	9175	7763
1625	9177	7755
1626	9180	7747
1627	9183	7739
1628	9186	7731
1629	9189	7723
1630	9192	7716
1631	9195	7708
1632	9197	7699
1633	9199	7690
1634	9201	7682
1635	9204	7674
1636	9208	7667
1637	9210	7658
1638	9212	7650
1639	9214	7641
1640	9216	7632
1641	9220	7625
1642	9223	7617
1643	9226	7610
1644	9230	7603
1645	9234	7596
1646	9238	7589
1647	9241	7581
1648	9245	7574
1649	9247	7566
1650	9249	7557
1651	9251	7549
1652	9255	7542
1653	9257	7533
1654	9260	7526
1655	9263	7518
1656	9265	7509
1657	9270	7503
1658	9275	7497
1659	9277	7489
1660	9280	7481
1661	9283	7473
1662	9285	7465
1663	9288	7457
1664	9292	7450
1665	9296	7443
1666	9300	7436
